n|novo|grupo|familia|especie|cat
1||PC|Atherinopsidae|Odontesthes bicudo|EN
2|*|PC|Anostomidae|Hypomasticus santanai|EN
3||PC|Anostomidae|Leporinus guttatus|EN
4||PC|Anostomidae|Leporinus pitingai|EN
5|*|PC|Anostomidae|Megaleporinus gaiero|VU
6||PC|Anostomidae|Sartor tucuruiensis|EN
7|*|PC|Bryconidae|Brycon dulcis|VU
8||PC|Bryconidae|Brycon gouldingi|VU
9||PC|Bryconidae|Brycon orbignyanus|CR
10||PC|Bryconidae|Brycon vermelha|EN
11|*|PC|Bryconidae|Brycon vonoi|EN
12|*|PC|Characidae|Astyanax brucutu|CR
13||PC|Characidae|Astyanax eremus|CR
14||PC|Characidae|Hasemania maxillaris|CR
15||PC|Characidae|Hasemania melanura|CR
16||PC|Characidae|Hasemania piatan|EN
17||PC|Characidae|Hollandichthys taramandahy|VU
18|*|PC|Acestrorhamphidae|Hyphessobrycon cantoi|EN
19||PC|Characidae|Hyphessobrycon duragenys|EN
20||PC|Characidae|Hyphessobrycon flammeus|EN
21||PC|Characidae|Hyphessobrycon taurocephalus|CR
22|*|PC|Characidae|Hyphessobrycon veredus|EN
23|*|PC|Stevardiidae|Knodus dorsomaculatus|EN
24||PC|Characidae|Kolpotocheirodon figueiredoi|CR
25||PC|Characidae|Lepidocharax diamantina|EN
26||PC|Characidae|Mimagoniates lateralis|VU
27||PC|Characidae|Mimagoniates sylvicola|EN
28|*|PC|Acestrorhamphidae|Moenkhausia parecis|EN
29|*|PC|Characidae|Nematocharax varii|EN
30||PC|Characidae|Psalidodon crenuchoides|EN
31||PC|Characidae|Psalidodon uberaba|EN
32||PC|Characidae|Rachoviscus crassiceps|VU
33||PC|Characidae|Rachoviscus graciliceps|EN
34||PC|Characidae|Spintherobolus ankoseion|VU
35||PC|Characidae|Stygichthys typhlops|CR
36|*|PC|Crenuchidae|Characidium onca|EN
37||PC|Crenuchidae|Characidium vestigipinne|EN
38|*|PC|Curimatidae|Cyphocharax jagunco|CR
39||PC|Lebiasinidae|Lebiasina marilynae|VU
40||PC|Lebiasinidae|Lebiasina minuta|VU
41||PC|Prochilodontidae|Prochilodus britskii|VU
42|*|PC|Prochilodontidae|Prochilodus harttii|VU
43||PC|Prochilodontidae|Prochilodus vimboides|VU
44|*|PC|Serrasalmidae|Colossoma macropomum|VU
45||PC|Cichlidae|Crenicichla jupiaensis|EN
46||PC|Cichlidae|Teleocichla centisquama|VU
47||PC|Cichlidae|Wallaciia urosema|VU
48||PC|Anablepidae|Jenynsia sanctaecatarinae|EN
49||PC|Poeciliidae|Cnesterodon carnegiei|VU
50||PC|Poeciliidae|Cnesterodon omorgmatos|CR
51||PC|Poeciliidae|Phalloptychus eigenmanni|EN
52|*|PC|Poeciliidae|Phalloptychus iheringii|VU
53||PC|Poeciliidae|Phallotorynus fasciolatus|CR
54|*|PC|Poeciliidae|Poecilia akroa|EN
55||PC|Poeciliidae|Poecilia pertapeh|CR
56||PC|Rivulidae|Acrolebias carvalhoi|CR
57||PC|Rivulidae|Anablepsoides cearensis|VU
58||PC|Rivulidae|Atlantirivulus lazzarotoi|CR
59||PC|Rivulidae|Atlantirivulus maricensis|CR
60||PC|Rivulidae|Atlantirivulus nudiventris|CR
61||PC|Rivulidae|Atlantirivulus simplicis|EN
62||PC|Rivulidae|Acantholebias quirogai|CR
63||PC|Rivulidae|Austrolebias ephemerus|EN
64||PC|Rivulidae|Austrolebias univentripinnis|EN
65||PC|Rivulidae|Amatolebias varzeae|CR
66||PC|Rivulidae|Campellolebias brucei|CR
67||PC|Rivulidae|Campellolebias chrysolineatus|CR
68||PC|Rivulidae|Campellolebias dorsimaculatus|CR
69||PC|Rivulidae|Campellolebias intermedius|CR
70||PC|Rivulidae|Cynolebias akroa|VU
