n|novo|grupo|familia|especie|cat
1||AN|Aromobatidae|Anomaloglossus apiau|EN
2||AN|Aromobatidae|Anomaloglossus tepequem|CR (PE)
3||AN|Brachycephalidae|Brachycephalus mirissimus|VU
4||AN|Brachycephalidae|Brachycephalus pernix|CR
5||AN|Brachycephalidae|Brachycephalus quiririensis|EN
6||AN|Brachycephalidae|Ischnocnema epipeda|CR (PE)
7||AN|Brachycephalidae|Ischnocnema garciai|CR
8||AN|Brachycephalidae|Ischnocnema karst|VU
9||AN|Brachycephalidae|Ischnocnema manezinho|EN
10||AN|Bufonidae|Melanophryniscus admirabilis|CR
11||AN|Bufonidae|Melanophryniscus biancae|EN
12||AN|Bufonidae|Melanophryniscus cambaraensis|EN
13||AN|Bufonidae|Melanophryniscus formosus|VU
14||AN|Bufonidae|Melanophryniscus klappenbachi|VU
15||AN|Bufonidae|Melanophryniscus macrogranulosus|EN
16||AN|Bufonidae|Melanophryniscus montevidensis|VU
17||AN|Bufonidae|Melanophryniscus setiba|VU
18||AN|Bufonidae|Rhinella casconi|CR
19||AN|Ceratophryidae|Ceratophrys ornata|CR (PE)
20||AN|Cycloramphidae|Cycloramphus diringshofeni|CR
21||AN|Cycloramphidae|Cycloramphus faustoi|VU
22||AN|Cycloramphidae|Cycloramphus stejnegeri|CR (PE)
23||AN|Cycloramphidae|Thoropa lutzi|CR (PE)
24||AN|Cycloramphidae|Thoropa petropolitana|CR (PE)
25||AN|Eleutherodactylidae|Adelophryne maranguapensis|CR
26||AN|Hylidae|Boana buriti|VU
27||AN|Hylidae|Bokermannohyla napolii|VU
28||AN|Hylidae|Bokermannohyla vulcaniae|EN
29||AN|Hylidae|Julianus pinimus|VU
30||AN|Hylidae|Nyctimantis pomba|CR
31||AN|Hylidae|Ololygon alcatraz|VU
32||AN|Hylidae|Ololygon faivovichi|VU
33||AN|Hylidae|Ololygon muriciensis|CR
34||AN|Hylidae|Ololygon peixotoi|CR (PE)
35||AN|Hylidae|Sphaenorhynchus bromelicola|EN
36||AN|Hylidae|Sphaenorhynchus cammaeus|CR
37||AN|Hylidae|Sphaenorhynchus canga|CR
38||AN|Hylidae|Xenohyla truncata|VU
39||AN|Hylodidae|Crossodactylus boulengeri|CR (PE)
40||AN|Hylodidae|Crossodactylus dantei|CR
41||AN|Hylodidae|Crossodactylus dispar|CR (PE)
42||AN|Hylodidae|Crossodactylus franciscanus|CR (PE)
43||AN|Hylodidae|Hylodes glaber|CR (PE)
